step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-3.331584252919e-08,-2.279695365814e-08,-1.789306223015e+02
2,0.1,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-2.881094118834e-08,7.078142516548e-09,-3.613100289668e+02
3,0.15,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-5.864723817695e-09,4.122897578895e-08,-5.469659675992e+02
4,0.2,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-2.593480985524e-13,3.659295089165e-13,-7.356427747517e+02
5,0.25,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,9.947598300641e-13,-3.552713678801e-14,-9.270083473430e+02
6,0.3,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,1.556088591315e-12,6.750155989721e-13,-1.120682225729e+03
7,0.35,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,8.704148513061e-12,1.120525894294e-11,-1.316229550700e+03
8,0.4,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-2.901856532844e-11,-7.013056801952e-12,-1.513155587624e+03
9,0.45,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-1.652594505686e-09,-1.161353679890e-09,-1.710982443915e+03
10,0.5,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,1.011812855722e-11,1.294608864555e-11,-1.909437380047e+03
11,0.55,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-1.195132881548e-11,-1.094235813071e-12,-2.108063836295e+03
12,0.6,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-9.122430810748e-09,-8.477115898131e-09,-2.307105637963e+03
13,0.65,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-1.285798134631e-10,-1.035544983097e-10,-2.507382927320e+03
14,0.7,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-2.700062395888e-12,2.017941369559e-12,-2.708685868854e+03
15,0.75,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-9.606537787477e-12,-1.026023710438e-11,-2.910441108396e+03
16,0.8,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,1.283615235593e-02,1.356577961266e-02,-3.113095636236e+03
17,0.85,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-1.008132943525e-05,-7.150503478215e-06,-3.317313348372e+03
18,0.9,top,2.775557561563e-17,9.714451465470e-17,-5.000000000000e-01,-2.320804384226e-06,-9.203074853303e-07,-3.522269989096e+03
